manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
209502,4539.0,{'Michaël Jordan Nkololo'},michael jordan nkololo,M. Nkololo,Michaël Jordan N'Kololo,"CAM, RW",Stade Malherbe Caen,66,61,Right,3
201315,4542.0,{'Pablo Nascimento Castro'},pablo nascimento castro,Pablo,Pablo Nascimento Castro,CB,FC Girondins de Bordeaux,52,71,Right,2
153296,4602.0,{'Yoann Gourcuff'},yoann gourcuff,Y. Gourcuff,Yoann Miguel Gourcuff,"CAM, CM, LW",Stade Rennais,73,73,Right,5
201145,4723.0,{'Mickaël Le Bihan'},mickael le bihan,M. Le Bihan,Mickaël Le Bihan,"ST, RM",OGC Nice,66,70,Right,3
152536,4804.0,{'Bradley Johnson'},bradley johnson,B. Johnson,Bradley Paul Johnson,"CM, LM, CDM",Norwich City,75,76,Left,2
183385,4828.0,{'Adlène Guédioura'},adlene guedioura,A. Guédioura,Adlène Guédioura,"CM, CDM",Watford,67,64,Right,4
224422,4909.0,{'Jeremie Boga'},jeremie boga,J. Boga,Jérémie Boga,"ST, LM",Stade Rennais,64,53,Right,3
193738,5242.0,{'Younès Belhanda'},younes belhanda,Y. Belhanda,Younes Belhanda,"CAM, CM, LM",FC Schalke 04,74,67,Right,4
164477,5475.0,{'John Michael Nchekwube Obinna'},john michael nchekwube obinna,J. Mikel,John Obi Mikel,CDM,Chelsea FC,55,74,Right,3
231443,5477.0,{'Ousmane Dembélé'},ousmane dembele,O. Dembelé,Masour Ousmane Dembélé,"CAM, RM, LM",Stade Rennais,70,43,Left,5
198553,5602.0,{'Cristian Gamboa Luna'},cristian gamboa luna,C. Gamboa,Cristian Esteban Gamboa Luna,RB,West Bromwich Albion,59,57,Right,3
210406,5660.0,{'Piotr Zieliński'},piotr zielinski,P. Zieliński,Piotr Sebastian Zieliński,"CM, CAM",Empoli,64,52,Right,3
191565,5679.0,{'Yūya Ōsako'},yuya osako,Y. Osako,Yūya Ōsako,"CF, ST, CAM, RM",1. FC Köln,70,70,Right,5
189358,5684.0,{'Shinji Kagawa'},shinji kagawa,S. Kagawa,Shinji Kagawa,"CAM, CF",Borussia Dortmund,69,45,Right,4
205114,5687.0,{'Takashi Inui'},takashi inui,T. Inui,Takashi Inui,"LM, RM, CAM",SD Eibar,57,41,Right,3
198335,5836.0,{'Bryan Oviedo'},bryan oviedo,B. Oviedo,Bryan Josué Oviedo Jiménez,LB,Everton FC,61,48,Left,3
210243,6352.0,{'Ricardo Domingos Barbosa Pereira'},ricardo domingos barbosa pereira,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, LB",OGC Nice,67,65,Right,5
171579,6391.0,{'Raúl García Escudero'},raul garcia escudero,Raúl García,Raúl García Escudero,CAM,Athletic Club de Bilbao,76,88,Right,3
205192,6609.0,{'Denis Suárez Fernández'},denis suarez fernandez,Denis Suarez,Denis Suárez Fernández,"LM, RM, CAM",Villarreal CF,70,44,Right,3
45186,6651.0,{'Joaquín Sánchez Rodríguez'},joaquin sanchez rodriguez,Joaquín,Joaquín Sánchez Rodríguez,"RM, LM, CAM",Fiorentina,73,56,Right,3
194879,6700.0,{'Sergio Enrich Ametller'},sergio enrich ametller,Sergi Enrich,Sergi Enrich Ametller,ST,SD Eibar,66,79,Left,3
227106,6749.0,{'Diego González Polanco'},diego gonzalez polanco,Diego González,Diego González Polanco,CB,Sevilla FC,32,53,Left,3
231866,6765.0,{'Rodrigo Hernández Cascante'},rodrigo hernandez cascante,Rodri,Rodrigo Hernández Cascante,"CDM, CM",Villarreal CF,49,44,Right,3
45595,6827.0,{'Daniele Bonera'},daniele bonera,D. Bonera,Daniele Bonera,CB,Villarreal CF,39,72,Right,3
232437,6844.0,{'Federico Ricca Rostagnol'},federico ricca rostagnol,F. Ricca,Federico Ricca Rostagnol,"LB, LM, CB", Málaga CF,30,67,Left,3
231638,6847.0,{'Adalberto Peñaranda Maestre'},adalberto penaranda maestre,A. Peñaranda,Adalberto Peñaranda Maestre,"ST, LM",Granada CF,71,71,Right,3
232665,6863.0,{'Mauro Wilney Arambarri Rosa'},mauro wilney arambarri rosa,M. Arambarri,Mauro Wilney Arambarri Rosa,"CDM, CM",FC Girondins de Bordeaux,48,60,Right,3
178250,6867.0,{'Papa Kouly Diop'},papa kouly diop,P. Diop,"Papakouli ""Pape"" Diop","CDM, CM", RCD Espanyol,66,75,Right,3
233231,6906.0,{'Jon Bautista Orgilles'},jon bautista orgilles,J. Bautista,Jon Bautista Orgilles,ST,Real Sociedad,62,61,Right,3
219808,6928.0,{'Pedro Taunausú Domínguez Placeres'},pedro taunausu dominguez placeres,Tana,Pedro Tanausú Domínguez Placeres,"CAM, LM, RM, CM",UD Las Palmas,65,28,Right,4
768,6938.0,{'Felipe Dias da Silva dal Belo'},felipe dias da silva dal belo,Felipe,Felipe Dias da Silva dal Belo,CB,Udinese Calcio,35,71,Left,3
202024,6983.0,{'Remo Freuler'},remo freuler,R. Freuler,Remo Freuler,"CM, CDM, CAM",Atalanta BC,62,39,Right,3
190782,7121.0,{'Sandro Ranieri Guimarães Cordeiro'},sandro ranieri guimaraes cordeiro,Sandro,Sandro Raniere Guimarães Cordeiro,"CM, CDM",West Bromwich Albion,67,67,Right,3
210320,7164.0,{'Ibrahima Mbaye'},ibrahima mbaye,I. Mbaye,Ibrahima Mbaye,"RB, RM", Bologna FC,53,60,Right,3
186200,7171.0,{'Fabio Borini'},fabio borini,F. Borini,Fabio Borini,"RM, LM, ST",Sunderland AFC,75,75,Right,3
190196,7211.0,{'Zargo Touré'},zargo toure,Z. Toure,Zargo Touré,CB,FC Lorient,29,79,Right,3
205641,7303.0,{'Lenny Nangis'},lenny nangis,L. Nangis,Lenny Loïc Nangis,"LM, RM",Lille OSC,64,58,Right,3
231612,7322.0,{'Romain Del Castillo'},romain del castillo,R. Del Castillo,Romain Del Castillo,LW,Olympique Lyonnais,54,44,Left,2
225863,7323.0,{'Olivier Boscagli'},olivier boscagli,O. Boscagli,Olivier Maxime Boscagli,"CB, LB",OGC Nice,27,65,Left,3
231109,7369.0,{'Aly Ndom'},aly ndom,A. Ndom,Aly Ndom,CDM,Stade de Reims,56,71,Left,2
221177,7406.0,{'Julien Bègue'},julien begue,J. Bègue,Julien Antoine Bègue,ST,En Avant Guingamp,60,63,Left,3
220421,7438.0,{'Hassane Kamara'},hassane kamara,H. Kamara,Hassane Kamara,"RM, LM",Stade de Reims,55,36,Right,3
232360,7525.0,{'Gaëtan Perrin'},gaetan perrin,G. Perrin,Gaëtan Perrin,RM,Olympique Lyonnais,61,60,Right,3
231226,7595.0,{'Dorian Caddy'},dorian caddy,D. Caddy,Dorian Caddy,ST,OGC Nice,65,63,Right,3
215651,7794.0,{'Samir Caetano de Souza Santos'},samir caetano de souza santos,Samir,Samir Caetano de Souza Santos,CB,Hellas Verona FC,35,70,Left,2
198079,8187.0,{'Marcel Büchel'},marcel buchel,M. Büchel,Marcel Büchel,CM,Empoli,58,48,Left,3
213345,8217.0,{'Kingsley Coman'},kingsley coman,K. Coman,Kingsley Junior Coman,"LW, ST, RW",Bayern München,73,52,Right,3
