shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,shooting
0,1,0.1675297,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.7,41.5,0.14456339609058647,0.231912589344177,0.6194690265486726
0,0,0.07621928,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,102.2,32.6,0.27570118151213174,0.12124238928144851,0.6902654867256637
0,0,0.0061072973,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.4,53.9,0.5011347417286722,0.06741289070142918,0.7256637168141593
0,0,0.04153543,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,98.1,54.3,0.37741370340765656,0.08163423495319087,0.663716814159292
0,0,0.7835,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,108.3,40.2,0.1636842309216407,0.2096662467966659,0.8938053097345133
0,0,0.083645426,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,108.6,43.4,0.1665604855355809,0.20000727287676606,0.8938053097345133
0,1,0.057764526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,111.6,33.8,0.14503150629241274,0.1991730389678119,0.486725663716814
0,1,0.068181805,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,108.0,26.3,0.2599590680403545,0.0939683096943695,0.6017699115044248
0,0,0.024126757,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.6,22.7,0.32349307049835485,0.07340655528843987,0.7699115044247786
0,0,0.031866387,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.0,35.3,0.41048426920387077,0.08793705494600967,0.5309734513274336
0,1,0.71904194,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.7,36.9,0.20701759282244764,0.16669909630259344,0.6194690265486726
0,1,0.037833,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.9,40.2,0.3322468286492239,0.10914700808173648,0.6194690265486726
0,0,0.10365055,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115.6,46.6,0.10794360512933356,0.20487617848585057,0.37168141592920345
1,0,0.06206297,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,107.9,37.6,0.1730595366254245,0.19671173215263818,0.8053097345132743
0,0,0.02500054,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.3,53.8,0.38348054044941843,0.08194843461678136,0.5309734513274336
1,0,0.091126874,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.5,44.6,0.12075061529276286,0.24630346130310324,0.8053097345132743
0,1,0.022351462,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.5,50.2,0.41053634906248393,0.0834244313878917,0.5309734513274336
0,0,0.022984756,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.9,41.6,0.4216076939762952,0.08670880066545893,0.5486725663716814
0,0,0.022601364,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.3,56.0,0.43831189807419974,0.07145176515130461,0.5309734513274336
0,0,0.2272298,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115.2,44.1,0.08399519229127277,0.3230880145498061,0.663716814159292
0,0,0.032634236,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,95.8,38.9,0.34886953305416996,0.10407792766431188,0.2920353982300885
0,1,0.04032639,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,99.9,45.9,0.3004122420548406,0.11567774085683005,0.5309734513274336
0,0,0.0392699,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.8,23.4,0.3549075324627378,0.07691336465175547,0.6017699115044248
0,0,0.044319924,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,103.2,36.2,0.2453498622806906,0.14214905111815468,0.5221238938053097
0,1,0.022195127,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,95.2,30.9,0.3812812487035238,0.09013096831955514,0.5309734513274336
0,0,0.038047235,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,92.9,34.9,0.39841769235530267,0.09020736788500852,0.2920353982300885
0,0,0.029532647,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.8,57.9,0.3378971510839784,0.07108213626165504,0.2920353982300885
