location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[110.5, 39.7]",Chancel Mbemba Mangulu,3044.0,Right Center Back,0,0,0.12513591,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,110.5,39.7,9.504735661763561,45.632613602725044
"[109.1, 41.8]",Laurent Koscielny,3394.0,Left Center Back,1,0,0.03413762,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.1,41.8,11.047624178980751,39.42887667321996
"[117.0, 36.6]",Laurent Koscielny,3394.0,Left Center Back,0,1,0.53183204,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,117.0,36.6,4.5343136195018525,79.24203291161002
"[96.3, 36.2]",Jack Colback,9649.0,Right Center Midfield,0,1,0.027395612,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,96.3,36.2,24.00270818053663,18.70059240871511
"[99.5, 41.7]",Ignacio Monreal Eraso,3498.0,Left Back,0,1,0.044672597,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,99.5,41.7,20.57036703610317,21.9400612691818
"[108.5, 44.9]",Theo Walcott,3668.0,Left Wing,0,1,0.16870451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,108.5,44.9,12.500399993600205,33.26185875316934
"[111.4, 35.5]",Aleksandar Mitrović,4269.0,Center Forward,1,0,0.10780702,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,111.4,35.5,9.70618359603814,41.33753653966433
"[112.9, 36.9]",Georginio Wijnaldum,3567.0,Left Center Midfield,1,0,0.096178144,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.9,36.9,7.747257579298621,52.22431569404536
"[111.2, 51.8]",Aaron Ramsey,3517.0,Left Defensive Midfield,0,0,0.13016075,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,111.2,51.8,14.720054347725755,19.33124058578628
"[111.4, 31.9]",Aaron Ramsey,3517.0,Left Defensive Midfield,0,0,0.23302968,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,111.4,31.9,11.813974775662928,29.107723861860002
"[109.4, 50.3]",Mesut Özil,3496.0,Center Attacking Midfield,0,0,0.052807998,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,109.4,50.3,14.780054127099799,22.72729189876408
"[108.2, 44.4]",Siem Stefan de Jong,8061.0,Center Defensive Midfield,0,1,0.083434045,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,108.2,44.4,12.593649193144929,33.504223936683864
"[85.4, 21.0]",Ciaran Clark,3041.0,Left Center Back,0,0,0.0052642548,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,85.4,21.0,39.473535438316134,10.175584675622284
"[110.0, 53.1]",Papiss Demba Cissé,30289.0,Center Forward,0,1,0.09574495,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,110.0,53.1,16.48059464946578,17.378909432558967
"[109.8, 29.7]",Papiss Demba Cissé,30289.0,Center Forward,0,1,0.09191287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,109.8,29.7,14.495861478366853,22.798811645831584
"[107.6, 41.4]",Jack Colback,9649.0,Left Defensive Midfield,0,1,0.07555334,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,107.6,41.4,12.478781991845203,35.37442467622877
"[109.8, 40.2]",Aleksandar Mitrović,4269.0,Center Forward,0,1,0.2841043,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,109.8,40.2,10.201960595885483,42.81296373135825
"[103.6, 52.1]",Georginio Wijnaldum,3567.0,Left Wing,0,0,0.056754712,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.6,52.1,20.380628057054576,18.18625245294053
"[113.3, 42.9]",Aleksandar Mitrović,4269.0,Center Forward,1,0,0.16650502,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.3,42.9,7.300684899377594,55.16611603887842
"[113.5, 37.4]",Aleksandar Mitrović,4269.0,Center Forward,1,0,0.09255293,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.5,37.4,7.000714249274855,57.592305564742965
"[117.5, 53.9]",Alan Hutton,9642.0,Right Wing Back,0,1,0.010216569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,117.5,53.9,14.123030836190933,6.221564273738964
"[101.8, 43.4]",Georginio Wijnaldum,3567.0,Left Wing,0,1,0.058538277,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,101.8,43.4,18.514858897652992,24.014522816114216
"[95.8, 54.8]",Andros Townsend,3297.0,Right Wing,0,0,0.043367866,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,95.8,54.8,28.366882098672743,13.791888456779038
"[89.4, 39.4]",Sung-Yeung Ki,3605.0,Left Center Midfield,0,0,0.015085396,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,89.4,39.4,30.605881787656433,14.889268566328605
