0
Radamel Falcao García Zárate
Kieran Richardson
Federico Fernández
Gabriel Imuetinyan Agbonlahor
Modou Barrow
Chris Brunt
Max-Alain Gradel
Jeffrey Schlupp
Simon Francis
Manuel Lanzini
Joe Gomez
Cheikhou Kouyaté
Aaron Cresswell
Diafra Sakho
Daniel William John Ings
Florian Thauvin
José Manuel Jurado Marín
Chancel Mbemba Mangulu
Massadio Haïdara
John Terry
Dieumerci Mbokani Bezua
Sébastien Aymar Bassong Nguena
Robert Kenedy Nunes do Nascimento
Jonathan Grant Evans
Brendan Joel Zibusiso Galloway
Steven Naismith
Gerard Deulofeu Lázaro
José Luis Sanmartín Mato
Matt Jarvis
Toby Alderweireld
Nacer Chadli
Andros Townsend
Clinton Mua N''Jie
Carl Jenkinson
Dimitri Payet
Nikica Jelavić
Brede Hangeland
Andy Carroll
Fernando Francisco Reges
Kelechi Promise Iheanacho
Philipp Wollscheid
Jamaal Lascelles
Gareth Barry
Mamadou Sakho
James McCarthy
Guangtai Jiang
Kyle Naughton
Danny Simpson
Andrew Philip King
Heung-Min Son
Adlène Guédioura
Sebastian Larsson
Gökhan İnler
Nathan Dyer
Lucas Pezzini Leiva
Tom Carroll
Cédric Ricardo Alves Soares
Jay Rodriguez
Maya Yoshida
Gabriel Antoine Obertan
Stephen Ireland
Eliaquim Mangala
Adnan Januzaj
Darron Gibson
Ashley Young
Ruben Loftus-Cheek
Lee Tomlin
Andrew Surman
Andrej Kramarić
Phil Jones
Michail Antonio
Alexandre Dimitri Song-Billong
Ryan Shawcross
James Collins
Enner Remberto Valencia Lastra
Luis Antonio Valencia Mosquera
Paul Dummett
Mathieu Flamini
Vincent Kompany
Martin Olsson
Victor Chinedu Anichebe
Samir Nasri
Marouane Chamakh
Craig Cathcart
Marcin Ryszard Wasilewski
Jan Vertonghen
Pablo Javier Zabaleta Girod
Ben Davies
Fraizer Campbell
Martin Kelly
Sebastian Prödl
Steven Berghuis
Martín Gastón Demichelis
Jordan Amavi
Gareth McAuley
Daley Blind
Luke Shaw
Javier Hernández Balcázar
Gastón Exequiel Ramírez Pereyra
Pedro Mba Obiang Avomo
Phil Jagielka
Yann Kermorgant
Miguel Arturo Layún Prado
Miguel Ángel Britos Cabrera
Nabil Bentaleb
Andre Wisdom
Kieran Trippier
Àngel Rangel Zaragoza
César Azpilicueta Tanco
John Michael Nchekwube Obinna
Leon Britton
James Tomkins
Gary Hooper
Yoan Gouffran
Youssouf Chafiq Mulumbu Ngangu
Phil Bardsley
Jordy Clasie
Per Mertesacker
Modibo Maïga
José Holebas
Juan Guillermo Cuadrado Bello
Matt Targett
Steven Caulker
Alessandro Diamanti
Serge Gnabry
Eunan O'Kane
Sandro Ranieri Guimarães Cordeiro
Jan Kirchhoff
Lamine Koné
Leroy Fer
Daniel Nii Tackie Mensah Welbeck
Marc Muniesa Martínez
Nordin Amrabat
Alex Iwobi
Muhamed Bešić
Libor Kozák
Aly Cissokho
Charlie Austin
Gilbert Gianelli Imbula Wanga
Peter Crouch
Kevin Linford Stewart
Alberto Paloschi
Marvin Emnes
Matthew Pennington
Leon Osman
Sullay Kaikai
Emmanuel Rivière
Seydou Doumbia
Jordi Amat Maas
