shot_aerial_won,shot_first_time,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,distance,angle,shooting,body_part_rating
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3819532527049908,0.10992674009532954,0.8758949880668256,0.5943204868154158
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4149130024104527,0.09763604073747735,0.8854415274463008,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5261418263319803,0.07038332745104188,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3857188084880677,0.09297361370615939,0.9164677804295942,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3147390430543506,0.09127829258249823,0.8353221957040573,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.09948005805745175,0.2858347856585678,0.8186157517899761,1.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3416474454281103,0.08749312558564569,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4920366495725434,0.0864877454194667,0.5059665871121717,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.42390089840629314,0.0968082185916943,0.8186157517899761,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4027802204315589,0.09505153658911619,0.8854415274463008,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1580703823595956,0.2325889017493166,0.8854415274463008,0.1359026369168357
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4832403017176519,0.0863380783232776,0.6157517899761338,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3408765397136215,0.12317361005252177,0.8186157517899761,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.24885274359143394,0.13687640135057433,0.8186157517899761,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.3760109571972551,0.11025359539997144,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5466156160610689,0.07826043582045637,0.7804295942720763,1.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.11074208753168312,0.3202705425369188,0.5059665871121717,0.14198782961460446
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3704633573388415,0.09902205556366095,0.9307875894988065,1.0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.1463217537194719,0.1978206812730664,0.9140811455847255,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4256840260520196,0.07079813454234499,0.8353221957040573,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.32495033841374754,0.10701084023703396,0.9307875894988065,1.0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.17267870652080877,0.20318238533735797,0.9164677804295942,0.797160243407708
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.35269879737793697,0.11708794451675605,0.8854415274463008,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3558803411160884,0.11792736290574482,0.8186157517899761,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3243314939927978,0.11411407763486903,0.8353221957040573,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.38488674711580406,0.10676611059247997,0.7804295942720763,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.3276132431240437,0.12765039683400123,0.9307875894988065,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.18520026321896582,0.21488603554030353,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2560947051968585,0.15096785682632474,0.9307875894988065,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.08743058865510613,0.3445962399325312,0.8353221957040573,0.09736308316430023
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.14644786764806209,0.2610873449205084,0.8758949880668256,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.28334912088149594,0.13631269729484724,0.8424821002386635,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5186904209904781,0.07562285745195406,0.6157517899761338,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3895318787515454,0.09165665170524909,0.7875894988066825,0.3914807302231238
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.16640905765006092,0.23600580037868846,0.928400954653938,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.16941172282395495,0.22511583120362738,0.928400954653938,0.16024340770791076
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.14693655115812268,0.22417527772158674,0.3556085918854415,1.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26691514606713135,0.10556265195415827,0.7971360381861574,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.33324144959190705,0.08238038916696654,0.8305489260143197,1.0
